ID,Post,Labels,Simple_Labels,SubCategory,"Simple_Labels,SubCategory",,
612,ગરીબો ને જીવડો બસ 2 ટાઈમ નું જામવાળો બીજું કઈ જોતું નથી વગર ખાડા મરી જશે...,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
613,ગરીબ હોય એને કોરોના નો થાય અને એના થી બીજા બે નો થાય?!! એવો વાયરસ 🦠 લાગે છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
614,દાળ મીડિયા તને ભગવાન આવો જ બનાવશે આવતા જન્મ માં મારી માં કરે જે 2 જન બોલી રહ્યા છે આ ગરીબ નું દર્દ નથી દેખાતું,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
615,પોલિસ નો દર છે એટલે જ બધીસેફ છે બાકી તો બધે જ આવા લુખ્ખા નો રાજ કરે છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
616,ગરીબન,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
617,"આ રસતો કોવીડ ની માનો સે
ઈ કોવીડ ડ કે જેણે સામન્ય માણસ ની ઉધ હરામ કરી
કોવીડ ની માનો પિકો","""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
618,બરાબર છે... પોલીસ વાલા લુખ્ખા ની જેમ...વર્તે છે... ભાજપ ના નેતા ઓને કોઈ માસ્ક નું કેહતા નથી.... પ્રજા હુમલો ન કરે તો શું કરે..... સરકાર હરામ છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
619,પોલીસ સામે નથી પડ્યો આ યુવક દબાણ ખાતા વાળા ની સામે પડ્યો છે ને પુરી વિડિઓ જોવો ત્યરે ખબર પડશે 3 વાર એની રેંકડી ઉઠાઈ લઇ ગયા હતા અત્યારે લાસ્ટ 1 year થી વેપાર જ નથી ગરીબ સાવ ગરીબ થઇ ગયા છે પછી માણસ ગાંડો થાય ને બીજું શું કરે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
620,ભાજપ ને નિકારો બહાર. બીજેપી ને વોટ આપવાયજ નઈ .,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
621,ટાઈટલ રાખ્યું તારા બાપનો રોડ છે.. જ્યારે પોલીસ વારા બેફામ બોલે ત્યારે એનું કંઈ નાઈ કેમ ?,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
622,નિયમોનું ગરીબ લોકો ને પાલન કરવો છો પહેલા aદારૂ ના હદ્દ બંધ કરવો ગુજરાત માં દારૂ બન્ધી છે તો દારૂ આવે છે ક્યાંથી ત્યાં કે કાયદો નથી શું,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
623,કાલી બેગ વાળી ને બે લાકડી મારો...,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
624,આ ભારત સરકાર મહેનત મજુરી કરીને કમાવનાર ગરીબો ને હેરાન કરે છે.,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
625,હા સાવજ હા સિહ‌ એકલો જ કાફી છે😈😈,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
626,આજુ બાજુના માણસ માસ વગર સે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
627,ગરીબને કમાવા દયૌ,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
628,હપ્તા ખોર પોલીસ,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
629,એમાં પોલિટિશ્યન નો મોટો હાથ હોય એવું લાગે છે. આમ ગરીબ રેંકડી વાદા ને હટાવી તો માણસો મોલ માં મોંઘા ભાવે શાકભાજી અને ફળ લે ને. બિચારા ગરીબ ઈમાનદારી થી કમાય છે. હવે જનતા એ રાજકારણીઓ ની રમત થી જાગૃત થવું પડશે. મોદી નો અંબાણી ન અદાણી બહુ ફાયદો લે છે .,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
630,પોલીસ થી કંટાળી ગયા 6e હવે લોકો.... એ દાદાગીરી નહીં માણસ ના અંદર ભરાયેલા ગુસ્સો 6e.... હાંફતો આપવું પડે તો જ ધંધા કરી શકે લોકો ભાધ ના પરિવાર પાળવાનું હોયે 6e... ગલતી બંને ની 6એ,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
631,ભાઈ બતાવું હોય તો સાચું બતાવવા ની હિમ્મત રાખો ઓકે ઓકત હોય તોજ બતાવો આ કરી વાળો ભાઈ દબાણ માટે આવેલી પોલીસ જોડે માથાકૂટ કરી ર્યો છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
632,પોલીસ જ નીચના પેટની છે,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
633,આ મીડિયાવાળા અને બીજું કંઈ કામ જ નથી. પોલીસ ને મારે ત્યાં આવી જાય. અને પોલીસવાળા આપણને મારે ત્યારે ના આવે 😂😂😂😂,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
634,મિડિયા વાળા તમારા માના ભોસઙા બેણચોદ,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
635,એક દમ બરાબર છે કેમ કે ગરીબ હોય તો શુ કરવુ,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
636,મીડિયા વરા ચોડું છે પિકીના,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
637,ગરીબ માણસો કંટાળી ગઈ છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
638,હપતો નઈ આપતા હોઈ ઈમાનદાર ફેરીયો છે.,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
639,આ ભાઈ નો ગુનો સુ હતો કે તે ફાળો માસ્ક નહોતું લગાવ્યું,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
640,"ગાળો આપેદને રૂપિયા ના હપ્તાલેતા હોવાછતાય
ગરીબ માણસોને વેપાર ન કરવા દેય પાછુ ઘરમાટે મફતપણ લઇજાવુ અને ધંધોય નકરવાદે
શુકામે ગરીબ માણસને તકલીફ આપો","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
641,છોકરાને નો હેરાન કરો તમને પાપ લાગશે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
642,હૂતો તલવાર જ રાખુ છુ મારી દુકાન પર રંડી ની ઑલાદો માટે,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
643,પોલીસ ની બીકમાં મરવું તેની કરતા સામે લડીને મરવું સારૂ,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
644,પોલીસ ના હાથ માં નો રયો એ આમ માણસ ના હાથ માં રે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
645,મૂંગે મોઢે પ્રજા બધું સહન કરી લ્યે છે .,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
646,કોઈ દિવસ પોલીસ વાળા નું સારું નહીં થાય,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
647,ગરિમા નો ધંધો કરે કે તમારું કાયદાનું પાલન કરે તમે વેચાઈ ગયા મીડિયાવાળા,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
648,પોલિસો ની હાજરી મા આટલિ માથાકુટ થવા છતા પોલિસો મુક પરેશક બની ને જોય રહ્યા છે!!!તો સામ્માન્ય માઅનસ નું શું થશે????,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
649,એકતો તડકા મા ભાઈ કાઈ કમાણી નો થતી હોય અને પાછા બીજા આવા પતર ઠોકવા આવે બરા બર કયરૂ પબ્લિ કે બરાબર ભળકવું જોઈએ આવા લોકો ઉપર કાંઈક તો આ મીડિયા વારા કોરોના કોરોના કરી ને પબ્લિક ની મારી લીધી,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
650,આ પોપટ ને હજુય ચાલવામાં તકલીફ પડતી હશે.,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
651,આ બધા પોલીસ વાળાઓએ આ ગરીબને દર મહીને ₹૫૦૦૦૦ ની સહાય કરવી જોઈએ જેથી તે ભાઇ આ રીતે રોડ પર ફળો ના વેચે બાકી તો કાયદેસર ફળો વેચવા દેવા પડે ત્રેવડ હોયતો ના પૈસાની સહાય કરો .બાકી આવા ગરીબને હેરાન ન કરો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
652,વડવાઓ ગયા ને ‌આવા ભઙવાઓ ને દરિદ્રૉ ની હાટડી બંધ કરાવવા છોડતા ગયા,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
653,તમારી જેમ બુટલેગરો પાસેથી હપતા નથી ઉઘરાવતા ગરીબો કે તમે દંડ ભરવાની વાત કરો,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
654,આ મીડીયા રાંડ ના પેટ ની બેનચોદ.,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
655,પોલીસ વાળા જ ખોટા છે ભાઈ ગરીબો ને જ હેરાન કરે છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
656,તારે રોકવો તો ને ભાઈ.....છરી કોઈને લાગી ગઈ હોત તો તું જવાબ આપોત...!,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
657,બરો બર છે આ પૉલીશ નો તરા છે એટલે આ કરવુ પડે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
658,"મીડિયા સામાન્ય માણસની તકલીફ નથી સમજતી , ફુટેલી છે","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
659,આ મીડિયા વાળા ને બીજો કોઇ ધધો છે જ નય ગરીબ નિ લાચારી સમજો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
660,"ભાજપ ભગાઓ ગુજરાત બચાઓ
પોલીસ નો અત્યાચાર એટલો વધી ગયો છે કે લોકો હવે સામે પડવા લાગ્યા છે
મીડિયા વાળા સરકાર ની દલાલી બંધ કરે","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
661,"આ વખત 2022 માં ભાજપ ને વોટ ના આપતા & આપ ને આપજો, આ એક દાંડી માર્ચ ની જેમ સત્ય થી ચાલવાથી નહીં થાય આ ગુંડા ઓ સામે, ટ્વિટટેર પર ફોરેઇન ઓફિસિઅલ્સ ને ટેગ કરી આવી આમની કાળી & ચોર કરતૂતો નું લખાણ કરો ત્યારેજ આ લોકો માં બીક આવશે નકર તો ખુલ્લેઆમ ગુંડાગર્દી જ કરશે .","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
662,પોલીસની ભૂલ પણ હોય છે માત્ર નાગરિકની ભૂલ હોતી નથી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
663,એ આરોપી નથી. પોલીસ સે આરોપી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
664,આ બરાબર જ છે પોલીસ નો ત્રાસ ગરીબો ઉપર જ કેમ નેતાઓ ને કેમ નહી ગરીબ જે રોજ નુ કમાઈને ખાય છે તમે મિડીયા વાળા કેમ પોલીસ ને કાંઈ નથી કેતા માસ્ક નહોતુ પહેરીયુ તો માસ્ક આપવુ તુ દંડ લેવા ગયા લુટ મચાવી ને રાખી છે સરકારે અધિકારીઓ નો સહારો લઈ,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
665,"આ પોલિશ ગરીબ તરબૂચ વાળા ને મારીને લૂંટે છે છતાં પણ લોકો કઈ નથી કરી રહ્યાં પોલિશ વાળા ને તો મારી મારી ને દોડાવવા પડે.
અરે પોલિશ વાળા લૂંટવાનું હોય તો નેતાવોને અને મીડિયા વાળા ને લૂંટો..","""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
666,"મીડીયા વાળા કયારેક આમ જનતા ને કનડગત કે અન્યાય કરતા કમૅચારી ના વીડીયા પણ મુકજો
બાકી માણસ ને જયારે સહનશકિત ખુટે અને ક્રોધ માઆવે ત્યારે કાઇપણ કરી બેછે","""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
667,બધા જાણે છે પોલીસ મીડિયા અને નેતાઓ માદર ચોદ છે,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
668,પોલિશ ને મીડિયા ગરીબ માણસો ને લૂંટે છે. બંધ કર ભાઈ કેટલો ઉલ્લુ બનાવશે પોલિશ ની ભૂલ કાઢ ..,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
669,હુમલો કર્યો એમાં એકે પોલીસ વાળો મરી તો નથી ગયો ને તો પછી આટલી બધી કડક કાર્યવાહી કેમ યે કોઈ આતંકવાદી થોડો છે યે પોતાનું પેટ ભરવા માટે તકડામાં મજૂરી કરી રહ્યો હતો એમાં પોલીસ વચ્ચે ગઈ,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
670,મારો લુટારા પોલીસ રોજી રોટી વાળા છે ભાઈ ભાજપ દ્વારા કૌભાંડ કરે છે ચુ,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
671,મીડિયા વાળા તમે પેલા નક્કી કરો વિડિઓ સામાન્ય જનતા માટે છે કે પોલિસકર્મી માટે...... બાકી યુટ્યૂબ પર તમારો ધંધો થાય છે એટલે વિડિઓ બનાવી ને મૂકો છો,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
672,"જયાં રાજસત્તા કાયર હોય ત્યાં, પોલીસ કંઈ રીતે કામ કરી શકે....","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
674,"ગાંડમાં છરી માર...બરોબર કયુઁ પોલીસની પણ ફાટી..બીજા પીકીના નામ લેતા પેલા વિચાર કરે...પોલીસને પણ બાયડી છોકરા હોય છે..
પોલીસને તો ગાંડ ફાટવી જ જોવે...ખાખીની ગાંડમાં એર બોવ હોય છે...મોટા ગુંડાથી તો પીસ કાપે..નામ લ્યો ગાંડમાથી ગુ સોત નિકળઈ જાય અનિભાઈ જાડેજા રીબડા વાળા...ફાટે કે નહી..???😄😄લ્યો નામ સરમણ મુંજાનાં છોકરાનું ગાંડમાં દમ હોય તો...😄😄😄😄","""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
675,મીડિયા વારા અને પોલીસતમે કોઈક ની રોજી રોટી ઉપર પાટુ ના મારો,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
676,"જે કંઈ બન્યું તે ખોટું છે, પોલીસ પર હુમલો ન કરી શકાય. પરંતુ પોલીસ ના ત્રાસ થી કંટાળી છે. ચુંટણી ના કાર્યક્રમો વખતે બધા જ નિયમો દૂર મુકી દીધા હતા અને પુરું થયા પછી જનતા પાસેથી દંડ પેટે પૈસા પડાવવા જનતા ને ત્રાસ આપી રહી છે.","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
677,"વાત બસ એટલી છે કે આં માણસ હવે કંટાળી ગયા છે..🙄
આ બધા નાના નાના વેપારીઓ પર કોરોના ના નિયમો બતાવો છો...!
આ બધા કાયદા
મોટેરા સ્ટેડિયમ માં નથી લાગુ પડતા...?","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
678,જગ્યાએ એક જ લારી દેખાય છે...તો જનતા વધારે છે..શાંતિ થી ભીડ વગર વેચાણ થાય એવી સગવડ કરો..ગરીબ રોજગાર બંધ કરવી..એ પ્રશાસન માટે યોગ્ય નથી...હેરાન પરેશાન થઈ કાયદો હાથ પર લેવો તે માટેજ મજબૂર થવુ પડે છે...,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
679,"ગરીબો ને જ સેહવાનું છે , હજી આવા માધરો ને માથે બેસાડો, ગરીબો ની કોઈ ઇજ્જત નથી, અમીરો ને સલામ કરે છે આવા લુખ્ખા સાલા હરામ ખોરા,😡 low and order ખાલી આમ જનતા ને છે, નેતા અને એમના લુખાઓ ને નથી,","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
680,"નિયમો મુજબ બજારમાં ધંધો કરવો જોઈએ, નિયમ અને કાયદો બધાની સલામતી અને રોજગારી પણ જોવે છે. બાકી પોલીસ સામે આવો હુમલો કરનારા તત્વોને સાથ આપે એ લોકો કાયદામાં કેટલું માનતા હશે તે સવાલ છે.
ધંધો રોજગારીમાં કોઈ હેરાન ના થવું જોઈએ પણ એ જ ધંધા. રોજગારી થી લોકો પણ હેરાન ના થવા જોઈએ.","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
681,"બિસારા રોજના ૩૦૦ રૂપિયા પાડીને ઘર સલાવેસે અને આવા ગરીબ લોકો પાસે થી પોલિશ પૈસા માગે સરમ નથી સરથી આવા પોલીસો ને તો જીવતા સર્ગાવી દેવાય પસી ભલે જેલમાં જવું પડે એ મંજૂર સે પણ બીજા ગરીબ તો બસી જશે પૈસા દેવામાં ,,,,😠😠😠😠","""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
682,માસ્ક પહેરવું જોઈએ ભાઈએ પોતાની ભૂલ નથી સ્વીકારવી,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
683,બાકી શેર તો શેર કેવાય.. હીજડો કી ફોજ.. ઓર મીડિયા દલાલી કી ફોજ,"""Hate"",""Sexist""",Hate,Sexist,"Hate,Sexist","""Hate""","""Sexist"""
684,ગરીબ રોડ ઉપર ધંધા કરતા સામાન્ય માનસ સામાન્ય પરિસ્થિતિ જીવતા હોય આવા હર હર કળિયુગના અંદર માં માં બે ટાઈમ નો રોટલો પૂરો કરતા હોય ના જોવે તડકો ના જોવે છાયો ના જોઈએ વરસાદ બસ એમના ઘર પરિવારનું પોષણ કરવા માટે બેઠક નો રોટલો માણસ હોય ગરીબ માણસનો આમ તો ધંધો થતો ન હોય અને એમાં પોલીસવાળા આવીને દંડ વસુલવાની વાત કરતા હોય ગરીબ માણસ નો કાળ ક્યાં જાય આ તો મળે તો મારે એવી હાલત નો ગરીબ માણસ હોય મારા કોમેન્ટ ઉપર કોનો સહમત છે તે જરૂર લાયક કરશે ગરીબ પરિસ્થિતિ જોવું હોય એને જ ખબર હોય,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
685,એ લુખ્ખા ઓ હપ્તો માંગે એટલે બરાબર છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
686,"ધંધો કરો, પણ અગર આ રીતે ચપ્પુ જાહેર માં બહાર કાઢી, પોલીસ અને અન્ય પર હુમલાઓ થાય તો મોર તો બોલાવશે જ...","""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
687,એક બે વાર જેલ માં જઈને આવ એટલે.ખબર પડશે કોનો રોડ છે... આવું તો ના ચાલે ને સાવ,"""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
688,"એમસી પોલીસ હતી ,એટલે બચી ગયો , રાજકોટ પોલીસ હોત તો એના માસી યાદ આવી જાત","""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
689,કૂતરાઓ ગરીબને ધઁધો કેમ નથી કરવા દેતા??? જ્યારે આવી ગંભીર પરિસ્થિતિ માં પણ હપ્તા ઉઘરાવતા ફરે છે અને લાંચ લેતા ફરે છે,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
690,"RMC પોલીસ હતી એટલે બચી ગયો ,બાકી ગુજરાત ની ખાખી હોત તો એના પરીવાર માં ય કોઈ ફ્રૂટ નો વેચેત, આજીવન","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
691,"હવે કસ્ટડીમાં બરાબર ની સફાઈ થશે ભાઈ ની
એક તો નીયમ અને કાયદા નો ભંગ કરવો છે અને પાછી દાદાગીરી પણ કરવી છે. આવા ને જો સબક ના શીખવખય તો પોલીસ નો ડર જતો રહેશે દેશમાં થી બરાબર મેથીપાક આપો આને","""Hate"",""Promoting violence""",Hate,Promoting violence,"Hate,Promoting violence","""Hate""","""Promoting violence"""
692,Tv9 ને કહી આવા પ્રશ્નો આપ વાલે ને પૂછો છો તો બીજેપી ને ના cm ne કેમ નહિ પૂછતા ત્યાં તો ટીવી ૯ ચૂપ રહી જાય છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
693,પત્રકારો. જ જાતિવાદ ઉભોકરે સે તે ફાઇનલ સે નામ નેતા ને સમાજ આગેવાનો આપે સે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
694,Cm કોઈ પણ સમાજ નો હોય પણ તે મજબૂત અને સમજદાર હોવો જોઈએ 🙏🏽🇮🇳🙏🏽,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
695,અને ભણેલો ગણેલો જાતિવાદ થી ઉપર ઊઠેલો... જેમ ગુજરાતી ઓ એ રૂપાણી ને સ્વીકાર્યા છે એમજ શાંતિ થી સ્વીકારી લેશે જો સારા વિચારો અને નિયત થી વરેલો તથા ઉદારવાદી તેમજ ભણેલ ગણેલ અને કોઈ સિદ્ધાંતો પર ચાલતો હશે તો જરૂર ગુજરાત બદલાશે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
696,"જો જો ગરીબો ની સેવા કરતાં કરતાં fortuner વાડા મોટા ભા નો થઈ જતાં , આમ આદમી રહી સાબિત કરી બતાવજો","""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
697,"આપ પાર્ટી માં જોડાયા એજ મોટી ઓળખ છે બાકી દેશહિત કે રાષ્ટ્રીય વાદી આમાં જોડાય નહીં, અને આ પાર્ટી તો ખૂલ્લેઆમ દેશદ્રોહીઓ ગુંડાઓ આતંકવાદીઓ હત્યારાઓ ની સમર્થક છે અને ખોટું હોય તો તપાસ કરો","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
698,ના ભાજપવાળા ની જેમ તો નહી કરે અદાણી અંબાણી નાં થઇ ગયા તેમ નહિ થાય,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
699,પાટીદાર મુદ્દો પુછે છે તો એંકર સાહેબ કોળી એ પણ કહ્યું મુખ્યમંત્રી અમારો હોવો જોઈએ તે પૂછ ને લોડા,"""Hate"",""Swearing""",Hate,Swearing,"Hate,Abusive","""Hate""","""Swearing"""
700,"પહેલાં, દેશહિત અને રાષ્ટ્ર વાદ ની નક્કર વ્યાખ્યા તો આપો
૪૦ વર્ષ પહેલાં, રાષ્ટ્રીય સંપત્તી ને નુકસાન કરનાર આજે પ્રખર કે ખર થઇ ગયાં છે, એનું શું?","""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
701,તમારી સત્તા હોય તો દારૂ બંધી કરી દો તો ગરીબો ના સાચા નેતા તરીકે છો એમ ગણાય.,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
702,આ શું સારું કરવાના એક પણ જવાબ સાચો ન આપયો . જવાબ મા જ ઞુમરાહ કરવા લાગ્યા આ શું શુદ્ધ કરવાના,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
703,કેજરીખાન ના વિદેશી ફંડો ના પૈસા બોલે છે નહીંતર આવા સારા માણસો આપ પાર્ટી માં ના જોડાય..,"""Hate"",""Accusations""",Hate,Accusations,"Hate,Accusations","""Hate""","""Accusations"""
704,વિપક્ષ મજબૂત જરુરી છે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
705,મુખ્ય મંત્રી ગમે ઈ આવે તારે ભળવાઇ કરવા ની નથી ટીવી 9 વાળા એ ભળવાઈ ચાલુ કરી દીધી જનતા નક્કી કરશે,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
706,ગાનાતી વાદહોવો ના જયેગૂજરાતમા હૂબશ ઍક માણશૂ,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
707,ઠાકોર સમાજ ભાજપ,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
708,ઇશુદાન ગઢવી રાજકારણ પગ ગાલવા માટે આવુ બોલે છે પસે કરવુ ના કરવુ એમની મરજી ની વાત છે કેટલા બદલાઈ ગયા છે વિચાર જો ભાઇઓ,"""Non-Hate"",""Neutral""",Non-Hate,Neutral,"Non-Hate,Neutral","""Non-Hate""","""Neutral"""
